Voivodeship,Locations,Population,Size
Dolnośląskie,737,2898525,18847
Kujawsko-Pomorskie,350,2069273,17972
Lubelskie,286,2103342,25112
Lubuskie,205,1010177,13988
Łódzkie,591,2448713,18219
Małopolskie,641,3413931,15183
Mazowieckie,1388,5428031,35558
Opolskie,155,980771,9412
Podkarpackie,202,2125901,17846
Podlaskie,167,1176576,20187
Pomorskie,646,2346717,18321
Śląskie,1198,4508078,12333
Świętokrzyskie,198,1230044,11711
Warmińsko-Mazurskie,230,1420514,24173
Wielkopolskie,682,3500361,29826
Zachodniopomorskie,447,1693219,22897
